Customer ID,Customer Name,Segment,City,State,Postal Code,Region
C0001,Darren Powers,Consumer,Houston,Texas,77095,Central
C0002,Phillina Ober,Home Office,Naperville,Illinois,60540,Central
C0003,Mick Brown,Consumer,Philadelphia,Pennsylvania,19143,East
C0004,Lycoris Saunders,Consumer,Los Angeles,California,90049,West
C0005,Jack O'Briant,Corporate,Athens,Georgia,30605,South
C0006,Maria Etezadi,Home Office,Henderson,Kentucky,42420,South
C0007,Vivek Sundaresam,Consumer,Huntsville,Texas,77340,Central
C0008,Melanie Seite,Consumer,Laredo,Texas,78041,Central
C0009,Anthony Jacobs,Corporate,Springfield,Virginia,22153,South
C0010,Seth Vernon,Consumer,Dover,Delaware,19901,East
C0011,Chris Selesnick,Corporate,Bossier City,Louisiana,71111,South
C0012,Natalie DeCherney,Consumer,Mount Pleasant,South Carolina,29464,South
C0013,Brian Dahlen,Consumer,San Francisco,California,94109,West
C0014,Michael Moore,Consumer,Newark,Ohio,43055,East
C0015,Brendan Sweed,Corporate,Philadelphia,Pennsylvania,19140,East
C0016,Erica Hackney,Consumer,Roswell,Georgia,30076,South
C0017,Delfina Latchford,Consumer,Philadelphia,Pennsylvania,19134,East
C0018,David Wiener,Corporate,Springfield,Oregon,97477,West
C0019,Toby Swindell,Consumer,Scottsdale,Arizona,85254,West
C0020,Hunter Lopez,Consumer,Jonesboro,Arkansas,72401,South
C0021,Mark Van Huff,Consumer,Los Angeles,California,90049,West
C0022,Xylona Preis,Consumer,Westland,Michigan,48185,Central
C0023,Muhammed MacIntyre,Corporate,Smyrna,Tennessee,37167,South
C0024,Tom Boeckenhauer,Consumer,Miami,Florida,33180,South
C0025,Ionia McGrath,Consumer,Las Vegas,Nevada,89115,West
C0026,Speros Goranitis,Consumer,Lafayette,Indiana,47905,Central
C0027,Shirley Daniels,Home Office,Alexandria,Virginia,22304,South
C0028,Carol Adams,Corporate,Rapid City,South Dakota,57701,Central
C0029,Ed Jacobs,Consumer,San Diego,California,92037,West
C0030,Jasper Cacioppo,Consumer,New York City,New York,10024,East
C0031,Mike Vittorini,Consumer,Detroit,Michigan,48234,Central
C0032,Liz Carlisle,Consumer,Mission Viejo,California,92691,West
C0033,Bradley Drucker,Consumer,Green Bay,Wisconsin,54302,Central
C0034,Cynthia Delaney,Home Office,San Diego,California,92037,West
C0035,Eric Barreto,Consumer,Saint Petersburg,Florida,33710,South
C0024,Tom Boeckenhauer,Consumer,Seattle,Washington,98105,West
C0036,Deborah Brumfield,Home Office,San Diego,California,92024,West
C0037,Mark Haberlin,Corporate,Escondido,California,92025,West
C0038,Neil Ducich,Corporate,Chesapeake,Virginia,23320,South
C0017,Delfina Latchford,Consumer,Romeoville,Illinois,60441,Central
C0039,Cyma Kinney,Corporate,Linden,New Jersey,7036,East
C0011,Chris Selesnick,Corporate,New York City,New York,10024,East
C0040,Nathan Mautz,Home Office,North Las Vegas,Nevada,89031,West
C0041,Natalie Fritzler,Consumer,Chesapeake,Virginia,23320,South
C0042,Guy Armstrong,Consumer,Columbia,Missouri,65203,Central
C0043,Sanjit Chand,Consumer,Concord,California,94521,West
C0044,Shui Tom,Consumer,Houston,Texas,77095,Central
C0045,Marina Lichtenstein,Corporate,Seattle,Washington,98103,West
C0046,Barry Französisch,Corporate,Seattle,Washington,98105,West
C0047,Michael Nguyen,Consumer,Dallas,Texas,75220,Central
C0017,Delfina Latchford,Consumer,Chicago,Illinois,60653,Central
C0048,Troy Blackwell,Consumer,Lubbock,Texas,79424,Central
C0049,Aaron Bergman,Consumer,Arlington,Texas,76017,Central
C0050,Linda Cazamias,Corporate,Richmond,Indiana,47374,Central
C0051,Steven Roelle,Home Office,Los Angeles,California,90049,West
C0052,Tamara Manning,Consumer,Woodstock,Illinois,60098,Central
C0053,Sue Ann Reed,Consumer,Moreno Valley,California,92553,West
C0054,Michael Grace,Home Office,El Paso,Texas,79907,Central
C0055,Jennifer Halladay,Consumer,Medford,Oregon,97504,West
C0056,Joy Smith,Consumer,Columbus,Ohio,43229,East
C0057,Dave Brooks,Consumer,Seattle,Washington,98115,West
C0058,Hallie Redmond,Home Office,New York City,New York,10035,East
C0059,Vicky Freymann,Home Office,Elmhurst,Illinois,60126,Central
C0060,Shahid Collister,Consumer,El Paso,Texas,79907,Central
C0061,Giulietta Weimer,Consumer,Houston,Texas,77036,Central
C0062,Kristina Nunn,Home Office,New York City,New York,10009,East
C0063,Nicole Hansen,Corporate,Philadelphia,Pennsylvania,19120,East
C0064,Ashley Jarboe,Consumer,Wilmington,North Carolina,28403,South
C0065,Anne Pryor,Home Office,New York City,New York,10035,East
C0066,Jill Stevenson,Corporate,Columbus,Ohio,43229,East
C0067,Sam Craven,Consumer,Houston,Texas,77095,Central
C0068,Eva Jacobs,Consumer,San Diego,California,92037,West
C0069,Clay Ludtke,Consumer,Columbia,South Carolina,29203,South
C0043,Sanjit Chand,Consumer,Margate,Florida,33063,South
C0070,Aimee Bixby,Consumer,Yonkers,New York,10701,East
C0049,Aaron Bergman,Consumer,Seattle,Washington,98103,West
C0071,Nora Pelletier,Home Office,Des Moines,Washington,98198,West
C0072,Craig Molinari,Corporate,Seattle,Washington,98103,West
C0073,Scott Williamson,Consumer,Royal Oak,Michigan,48073,Central
C0074,Kean Thornton,Consumer,Denver,Colorado,80219,West
C0075,Chloris Kastensmidt,Consumer,Columbus,Ohio,43229,East
C0076,Kelly Andreada,Consumer,New York City,New York,10024,East
C0077,Filia McAdams,Corporate,Richmond,Kentucky,40475,South
C0078,Richard Bierner,Consumer,Roseville,California,95661,West
C0079,Dean Katz,Corporate,Huntington Beach,California,92646,West
C0080,Christine Kargatis,Home Office,Chesapeake,Virginia,23320,South
C0081,Jason Fortune-,Consumer,Logan,Utah,84321,West
C0082,Rick Bensley,Home Office,Chicago,Illinois,60653,Central
C0083,Neil Französisch,Home Office,Jacksonville,Florida,32216,South
C0084,Alan Shonely,Consumer,Tampa,Florida,33614,South
C0062,Kristina Nunn,Home Office,Raleigh,North Carolina,27604,South
C0085,Bradley Nguyen,Consumer,Lakeville,Minnesota,55044,Central
C0086,Christine Phan,Corporate,New York City,New York,10024,East
C0087,Annie Zypern,Consumer,Dallas,Texas,75217,Central
C0037,Mark Haberlin,Corporate,Jackson,Mississippi,39212,South
C0088,Quincy Jones,Corporate,Philadelphia,Pennsylvania,19134,East
C0089,Sean Miller,Home Office,Jacksonville,Florida,32216,South
C0090,Eileen Kiefer,Home Office,San Francisco,California,94110,West
C0091,Sample Company A,Home Office,Burbank,California,91505,West
C0092,Matt Connell,Corporate,Lakeland,Florida,33801,South
C0093,Cassandra Brandow,Consumer,Hamilton,Ohio,45011,East
C0094,Thomas Seio,Corporate,Asheville,North Carolina,28806,South
C0095,Kristen Hastings,Corporate,Springfield,Virginia,22153,South
C0096,Gary McGarr,Consumer,Knoxville,Tennessee,37918,South
C0097,Craig Carroll,Consumer,Greensboro,North Carolina,27405,South
C0098,Beth Fritzler,Corporate,Tucson,Arizona,85705,West
C0099,Vivian Mathis,Consumer,Portage,Indiana,46368,Central
C0100,Patrick O'Donnell,Consumer,Los Angeles,California,90036,West
C0101,Bruce Geld,Consumer,Delray Beach,Florida,33445,South
C0102,Carlos Daly,Consumer,New York City,New York,10024,East
C0103,Maurice Satty,Consumer,Fresno,California,93727,West
